Department,Gender,Age,Job_Title,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned
HR,Male,39,Consultant,0,Bachelor,2,6600,53,10,17,14,50,3,64,2,2.45,FALSE
Operations,Female,38,Specialist,8,Bachelor,4,6300,52,6,9,6,0,5,9,0,2.42,FALSE
Sales,Male,52,Manager,8,Master,1,6600,32,2,13,11,25,16,8,0,4.45,FALSE
IT,Female,42,Developer,1,High School,1,5500,53,20,13,8,100,8,75,1,4.49,FALSE
Engineering,Female,42,Analyst,1,Master,4,5600,53,1,16,11,50,11,15,2,3.55,FALSE
Sales,Female,33,Developer,1,Bachelor,2,6000,36,42,15,1,0,5,41,0,1.31,FALSE
Legal,Female,47,Developer,4,Bachelor,2,6000,37,6,15,1,0,12,8,1,4.98,FALSE
HR,Female,33,Consultant,0,High School,2,6600,31,6,24,10,75,10,1,1,1.39,FALSE
Engineering,Male,47,Consultant,6,High School,4,7700,55,36,22,3,100,10,84,1,1.75,FALSE
Customer Support,Male,31,Technician,7,PhD,3,4550,32,46,19,0,50,19,82,0,3.2,FALSE
Sales,Male,28,Developer,3,Master,5,7500,42,28,6,6,25,1,38,1,3.55,FALSE
Legal,Male,46,Consultant,8,High School,3,7150,60,36,27,13,25,5,94,2,3.5,TRUE
Customer Support,Female,54,Specialist,5,High School,1,4950,31,27,5,6,0,12,53,1,2.09,FALSE
Legal,Female,55,Developer,0,Master,3,6500,38,12,25,6,100,13,94,0,3.75,FALSE
Customer Support,Female,23,Specialist,7,High School,3,5850,40,19,14,14,100,14,0,0,3.4,TRUE
Engineering,Male,46,Analyst,3,Bachelor,2,4800,35,24,10,13,0,4,85,0,1.33,FALSE
HR,Female,28,Analyst,8,Master,1,4400,53,38,22,14,100,17,67,2,2.17,FALSE
Marketing,Female,46,Specialist,8,Bachelor,2,5400,44,16,13,13,100,11,0,1,4.27,FALSE
Legal,Female,59,Engineer,9,Bachelor,4,8400,33,11,7,4,100,5,40,2,2.37,FALSE
Marketing,Male,55,Technician,4,PhD,3,4550,59,1,9,1,25,17,59,2,1.77,FALSE
Marketing,Male,52,Technician,5,Bachelor,2,4200,33,45,2,4,50,18,12,0,1.11,FALSE
Finance,Female,27,Engineer,0,Master,2,7200,31,1,25,5,0,15,22,1,2.08,FALSE
Customer Support,Female,39,Manager,6,Bachelor,4,8400,33,11,10,2,100,9,53,0,3.22,FALSE
Customer Support,Male,55,Consultant,0,Bachelor,2,6600,44,42,5,6,0,9,26,2,3.23,TRUE
Legal,Male,48,Developer,5,Bachelor,1,5500,42,11,26,12,100,15,84,1,3.69,TRUE
Finance,Male,50,Manager,0,High School,4,8400,54,9,29,7,25,15,3,2,3.66,FALSE
Engineering,Male,52,Specialist,3,High School,4,6300,44,19,10,7,50,1,81,1,4.1,FALSE
Operations,Male,52,Developer,9,High School,1,5500,47,4,19,10,0,19,33,0,4.36,FALSE
Marketing,Female,30,Manager,5,High School,3,7800,49,24,20,2,50,19,43,2,1.03,TRUE
Engineering,Male,58,Specialist,9,PhD,3,5850,45,24,16,12,50,7,0,0,2.34,FALSE
Finance,Female,38,Manager,8,High School,3,7800,41,31,12,10,75,9,64,0,4.2,FALSE
Sales,Male,24,Developer,4,Bachelor,2,6000,50,33,0,9,0,13,37,1,4.39,FALSE
Customer Support,Other,33,Manager,6,Bachelor,3,7800,36,9,10,14,25,13,30,1,3.19,TRUE
Finance,Female,45,Engineer,6,High School,4,8400,35,0,18,14,75,17,48,0,3.42,FALSE
IT,Female,33,Consultant,4,High School,1,6050,54,31,11,3,0,2,48,1,3.63,TRUE
IT,Male,33,Consultant,4,Bachelor,3,7150,49,45,29,2,75,6,57,2,5,TRUE
Engineering,Male,58,Consultant,6,Bachelor,4,7700,59,44,18,13,100,12,53,1,2.13,FALSE
Customer Support,Female,55,Technician,5,High School,1,3850,58,1,1,0,0,4,29,1,2.3,FALSE
Customer Support,Male,46,Manager,2,Bachelor,4,8400,36,1,6,9,50,17,10,0,2.94,FALSE
HR,Female,22,Developer,3,Bachelor,4,7000,34,8,17,12,100,16,1,0,2.8,FALSE
Operations,Female,37,Engineer,9,Bachelor,4,8400,56,26,7,9,100,15,12,2,4.68,FALSE
Sales,Male,56,Consultant,6,Bachelor,1,6050,51,24,2,11,75,3,82,1,2.7,FALSE
Sales,Male,36,Consultant,5,High School,5,8250,50,32,28,5,50,9,56,0,1.64,FALSE
IT,Male,43,Technician,0,Bachelor,2,4200,48,33,4,7,25,12,75,2,4.8,FALSE
Finance,Male,39,Analyst,5,Bachelor,1,4400,31,5,25,12,75,3,34,0,3.51,FALSE
Legal,Female,30,Technician,7,Master,4,4900,34,14,12,8,25,2,59,0,4.5,FALSE
Customer Support,Male,35,Consultant,0,Bachelor,4,7700,43,14,0,14,75,5,31,2,3.58,FALSE
Legal,Female,48,Specialist,1,Bachelor,2,5400,32,24,1,0,25,11,88,1,1.58,FALSE
Customer Support,Female,56,Analyst,3,Bachelor,5,6000,43,5,29,8,100,11,96,0,2.47,FALSE
Legal,Male,26,Manager,3,High School,5,9000,33,4,15,3,75,17,44,2,3.24,FALSE
IT,Male,38,Consultant,8,PhD,4,7700,54,44,17,3,0,1,81,1,4.2,FALSE
IT,Female,27,Manager,4,Bachelor,5,9000,49,12,27,10,25,19,4,1,2.87,FALSE
Finance,Male,29,Specialist,3,Bachelor,3,5850,47,15,6,1,25,11,65,0,4.37,FALSE
Customer Support,Male,26,Specialist,5,Bachelor,1,4950,49,2,12,6,75,6,23,1,4.17,FALSE
Legal,Female,25,Technician,4,High School,1,3850,30,42,4,11,75,6,13,1,2.94,TRUE
Operations,Female,44,Manager,9,Bachelor,4,8400,53,11,28,5,0,12,60,1,4.47,FALSE
Finance,Male,46,Consultant,9,Bachelor,4,7700,35,31,19,7,75,14,19,0,1.14,FALSE
IT,Male,28,Engineer,3,High School,3,7800,46,4,12,7,0,1,36,2,1.39,FALSE
Marketing,Male,34,Developer,8,High School,1,5500,56,6,3,12,0,6,60,0,4.65,FALSE
Engineering,Other,59,Consultant,9,Bachelor,2,6600,50,44,17,0,100,16,35,0,4.4,FALSE
Sales,Male,31,Consultant,2,Bachelor,2,6600,59,27,22,6,100,1,44,2,1.74,FALSE
Sales,Male,51,Developer,1,High School,5,7500,45,8,7,6,50,12,66,2,1.24,TRUE
Sales,Other,29,Engineer,4,Bachelor,1,6600,39,10,25,1,100,1,66,2,1.61,FALSE
Engineering,Male,47,Specialist,9,Master,5,6750,34,14,27,6,50,15,97,2,2.84,TRUE
HR,Male,32,Technician,0,Bachelor,5,5250,52,14,28,5,25,17,34,0,2.87,FALSE
Marketing,Female,55,Manager,3,High School,3,7800,49,9,15,9,75,12,92,0,1.96,FALSE
Operations,Female,29,Consultant,5,High School,2,6600,55,41,13,2,25,13,44,1,3.83,FALSE
Operations,Male,24,Consultant,2,Bachelor,2,6600,39,24,0,12,25,11,63,0,3.79,FALSE
Sales,Male,23,Analyst,2,Bachelor,5,6000,56,28,29,1,0,12,94,0,3.03,FALSE
Legal,Female,35,Analyst,7,Bachelor,2,4800,46,21,17,2,25,6,9,1,1.25,FALSE
Customer Support,Male,28,Manager,5,Master,5,9000,40,9,12,2,100,17,34,2,4.83,FALSE
Finance,Male,38,Technician,5,High School,2,4200,34,24,23,0,100,12,22,0,1.12,FALSE
Legal,Female,39,Specialist,1,High School,1,4950,44,4,5,5,50,4,11,0,4.38,FALSE
Engineering,Female,23,Analyst,5,Bachelor,2,4800,35,20,11,1,25,13,16,1,3.61,FALSE
Customer Support,Male,22,Specialist,3,PhD,3,5850,52,6,8,14,50,6,45,1,4.61,FALSE
Legal,Female,60,Specialist,7,Bachelor,2,5400,35,27,19,2,50,15,93,0,2.62,FALSE
Customer Support,Female,54,Analyst,7,High School,3,5200,48,49,27,3,75,11,64,2,1.82,FALSE
Operations,Female,26,Consultant,1,Bachelor,1,6050,53,18,15,11,50,5,46,0,2.23,FALSE
Customer Support,Male,43,Consultant,6,Master,2,6600,41,30,12,4,25,18,80,2,4.36,FALSE
Legal,Female,57,Engineer,5,Bachelor,1,6600,39,41,7,13,0,7,1,0,3.3,FALSE
Sales,Male,58,Analyst,7,Master,3,5200,56,26,25,6,100,14,34,2,4.55,FALSE
IT,Female,31,Technician,7,Master,1,3850,59,3,13,0,50,13,78,2,4.75,FALSE
Finance,Female,55,Analyst,3,Bachelor,1,4400,57,17,21,12,100,6,92,0,3,FALSE
Operations,Male,59,Consultant,3,Bachelor,4,7700,52,11,15,13,50,12,19,0,4.76,FALSE
Sales,Male,25,Manager,1,Bachelor,4,8400,35,10,10,0,50,1,51,1,1.02,FALSE
Marketing,Female,54,Technician,9,High School,5,5250,37,49,22,14,100,6,21,2,4.44,FALSE
Customer Support,Male,60,Specialist,7,Bachelor,3,5850,49,19,1,7,100,12,15,2,4.88,FALSE
Legal,Male,51,Engineer,9,Bachelor,3,7800,53,49,17,1,75,3,30,2,3.78,FALSE
Customer Support,Female,35,Specialist,1,Master,1,4950,57,30,24,8,100,13,70,1,1.05,FALSE
Legal,Male,46,Manager,4,Bachelor,1,6600,34,5,7,1,25,17,71,0,1.79,FALSE
Operations,Female,39,Analyst,9,Bachelor,1,4400,55,45,14,5,50,7,11,2,3.34,FALSE
Legal,Female,41,Technician,9,Master,1,3850,31,36,21,12,100,6,98,0,4.04,FALSE
Operations,Female,30,Manager,2,Master,4,8400,52,28,17,1,100,12,27,0,4.15,TRUE
Engineering,Male,36,Manager,8,Master,1,6600,39,43,27,10,100,3,70,1,2.85,FALSE
HR,Male,32,Technician,4,Bachelor,5,5250,56,35,20,10,0,16,41,2,2.04,FALSE
Finance,Male,44,Technician,1,Bachelor,5,5250,32,46,15,14,50,19,29,0,1.78,FALSE
Legal,Male,37,Analyst,7,High School,1,4400,43,33,2,2,0,4,53,1,1.97,TRUE
Engineering,Male,26,Analyst,3,High School,2,4800,54,26,23,0,100,16,43,0,1.82,TRUE
Sales,Female,30,Specialist,4,High School,3,5850,50,29,23,9,75,12,47,2,3.49,FALSE
Sales,Male,36,Manager,6,High School,4,8400,51,44,1,6,50,12,78,1,1.14,FALSE
Legal,Male,31,Analyst,7,Bachelor,5,6000,49,48,25,0,25,19,93,0,1.97,FALSE
Legal,Female,39,Specialist,5,High School,4,6300,53,17,23,5,75,14,84,0,4.25,FALSE
Legal,Female,34,Technician,4,High School,5,5250,50,22,26,2,25,5,49,2,2.59,FALSE
Engineering,Male,23,Manager,1,Bachelor,3,7800,57,49,9,11,50,13,52,2,4.72,FALSE
Finance,Male,22,Developer,9,Bachelor,2,6000,52,23,17,3,25,6,50,2,3.63,FALSE
Operations,Male,43,Developer,4,PhD,2,6000,39,17,1,8,25,8,63,1,2.24,FALSE
Marketing,Female,26,Specialist,4,High School,5,6750,35,30,18,11,0,5,16,0,3.36,FALSE
Customer Support,Female,30,Analyst,0,Bachelor,2,4800,56,48,21,1,100,2,42,2,3.85,FALSE
Engineering,Female,48,Developer,0,Bachelor,3,6500,57,14,12,12,75,14,16,1,3.59,TRUE
HR,Female,54,Consultant,7,Bachelor,3,7150,40,2,7,8,100,18,99,1,3.79,FALSE
Customer Support,Male,25,Analyst,7,Bachelor,4,5600,40,42,14,9,100,16,47,0,1.14,FALSE
Customer Support,Other,48,Technician,6,Bachelor,2,4200,52,21,8,13,50,19,79,2,1.3,FALSE
Legal,Female,53,Manager,8,Master,2,7200,31,36,25,3,0,9,36,2,2.89,FALSE
Legal,Male,28,Technician,7,Bachelor,1,3850,36,13,13,5,0,13,67,1,2.39,TRUE
Legal,Male,57,Manager,0,Bachelor,2,7200,48,38,9,8,50,17,56,2,4.28,FALSE
Sales,Male,48,Technician,6,Bachelor,4,4900,33,26,29,4,75,5,21,1,2.47,FALSE
Customer Support,Female,32,Manager,2,Bachelor,5,9000,41,27,17,7,25,12,62,2,1.46,FALSE
Finance,Female,33,Technician,9,Bachelor,3,4550,38,30,1,11,75,9,56,2,2.69,FALSE
HR,Female,57,Manager,1,Bachelor,4,8400,35,37,7,10,100,5,59,2,4.38,FALSE
Legal,Male,38,Engineer,5,Master,4,8400,41,28,22,6,100,8,38,0,3.08,FALSE
IT,Female,43,Specialist,2,High School,2,5400,54,14,8,9,25,11,97,2,4.01,FALSE
Customer Support,Female,26,Specialist,1,Bachelor,2,5400,33,47,15,5,50,10,11,0,2.8,TRUE
Operations,Female,41,Consultant,2,Bachelor,1,6050,39,24,24,6,100,12,4,0,3.85,FALSE
HR,Female,37,Analyst,8,Bachelor,4,5600,46,18,0,9,0,10,12,0,2.32,FALSE
Engineering,Female,36,Analyst,3,Bachelor,2,4800,39,49,24,14,25,15,64,1,3.84,TRUE
Finance,Male,54,Specialist,4,Bachelor,1,4950,59,2,22,3,0,4,99,0,3.94,FALSE
IT,Female,45,Analyst,3,Bachelor,2,4800,57,28,26,2,50,15,85,0,1.48,FALSE
IT,Female,56,Specialist,7,Master,5,6750,53,19,22,4,0,2,61,0,2.51,TRUE
Legal,Female,39,Engineer,1,Master,5,9000,59,16,24,2,50,1,26,1,1.59,TRUE
HR,Male,44,Technician,2,High School,1,3850,37,9,8,11,75,5,15,2,1.49,FALSE
HR,Female,55,Analyst,3,Bachelor,5,6000,43,14,22,6,75,17,42,2,3.45,FALSE
IT,Female,52,Developer,5,Bachelor,1,5500,44,40,28,14,50,12,56,0,3.23,FALSE
Operations,Male,27,Consultant,3,Master,1,6050,36,4,26,8,100,9,38,2,3.73,TRUE
Finance,Male,45,Analyst,9,Bachelor,5,6000,30,12,14,9,100,8,26,1,2.41,FALSE
Operations,Female,54,Specialist,5,Bachelor,3,5850,52,28,21,3,0,16,14,2,3.47,FALSE
Engineering,Male,32,Consultant,8,High School,2,6600,47,5,20,10,75,19,87,1,4.06,FALSE
Customer Support,Male,52,Analyst,4,Bachelor,2,4800,34,19,18,6,75,14,37,0,2.63,FALSE
HR,Female,38,Technician,6,High School,1,3850,32,39,2,2,50,14,40,1,1.25,FALSE
Marketing,Male,50,Engineer,1,Bachelor,2,7200,44,10,21,0,0,5,88,2,4.9,TRUE
Customer Support,Male,41,Manager,3,Master,4,8400,55,28,1,14,50,5,66,2,1.02,FALSE
Sales,Female,40,Developer,7,High School,1,5500,30,20,7,10,0,6,64,1,4.61,TRUE
Engineering,Male,43,Developer,8,High School,3,6500,55,49,24,8,50,15,75,2,2.96,FALSE
Legal,Male,42,Consultant,9,Bachelor,2,6600,58,39,13,3,0,14,23,0,4.32,FALSE
Finance,Female,26,Specialist,3,High School,4,6300,41,47,26,2,50,7,98,0,2.86,TRUE
Marketing,Male,36,Manager,4,PhD,2,7200,44,27,9,10,100,13,52,2,2.76,FALSE
Operations,Male,28,Developer,1,Bachelor,4,7000,32,16,10,9,75,6,21,0,4.27,FALSE
Legal,Female,32,Specialist,4,Master,5,6750,49,5,11,6,75,17,99,1,2.42,FALSE
Operations,Female,25,Developer,4,High School,3,6500,34,25,1,5,0,1,69,0,1.75,FALSE
Sales,Female,30,Manager,6,Bachelor,3,7800,40,0,22,7,100,16,74,2,4.21,TRUE
Operations,Female,42,Engineer,4,Master,2,7200,54,12,17,8,75,7,5,0,4.58,FALSE
Legal,Female,22,Analyst,6,High School,4,5600,42,7,11,5,25,2,7,0,4.77,FALSE
Engineering,Male,23,Engineer,4,Bachelor,5,9000,55,12,5,11,0,1,95,1,4.14,FALSE
Customer Support,Male,52,Engineer,8,Bachelor,4,8400,35,0,27,6,50,7,82,1,4.97,FALSE
Operations,Male,25,Consultant,4,High School,2,6600,34,41,7,11,25,12,9,1,3.23,FALSE
Customer Support,Male,50,Developer,8,Bachelor,5,7500,32,7,2,9,100,10,14,1,4.74,FALSE
Legal,Male,32,Analyst,3,Bachelor,1,4400,45,35,25,12,100,12,52,0,4.98,FALSE
Engineering,Female,55,Engineer,2,Bachelor,4,8400,36,22,23,2,50,1,43,1,2.76,FALSE
Sales,Female,53,Specialist,3,Master,1,4950,30,21,20,4,75,2,29,1,1.49,FALSE
Sales,Female,44,Manager,9,PhD,5,9000,53,0,11,7,25,13,65,2,4.9,FALSE
HR,Female,25,Engineer,9,Bachelor,5,9000,45,47,18,7,25,15,69,0,1.66,FALSE
Operations,Female,57,Developer,5,Bachelor,2,6000,40,37,8,5,75,12,53,2,2.83,FALSE
IT,Male,42,Consultant,3,Bachelor,4,7700,47,29,3,9,75,14,7,2,3.62,FALSE
Legal,Female,39,Engineer,2,Bachelor,5,9000,41,8,27,3,75,9,70,2,1.39,FALSE
Operations,Male,25,Manager,9,High School,3,7800,58,9,6,9,0,5,56,1,3.1,FALSE
Customer Support,Female,27,Analyst,2,High School,3,5200,56,34,28,3,25,2,80,1,2.06,FALSE
Sales,Female,32,Technician,9,High School,2,4200,46,28,20,2,75,2,29,1,1.45,FALSE
Finance,Female,57,Analyst,2,Master,4,5600,58,38,10,6,25,14,58,0,4.13,FALSE
Marketing,Male,32,Analyst,8,Master,4,5600,36,12,9,11,75,12,91,2,2.65,FALSE
HR,Female,39,Technician,1,Master,5,5250,57,3,28,5,0,17,29,2,4.33,FALSE
Marketing,Other,44,Technician,7,Bachelor,1,3850,53,30,3,11,25,15,33,2,3.51,FALSE
Sales,Male,28,Engineer,2,High School,4,8400,38,9,23,7,75,12,37,0,1.96,FALSE
Operations,Female,42,Consultant,8,High School,4,7700,53,17,18,1,50,16,55,1,4.65,FALSE
Finance,Female,27,Manager,1,High School,4,8400,56,27,19,4,75,8,90,2,1.53,FALSE
HR,Male,60,Developer,1,High School,3,6500,54,12,9,11,0,11,32,0,2.18,TRUE
Engineering,Male,42,Manager,1,Master,1,6600,41,10,24,4,50,2,8,2,4.72,FALSE
Finance,Male,33,Developer,6,High School,2,6000,39,38,28,9,25,1,33,2,3.42,FALSE
IT,Female,47,Analyst,2,Bachelor,2,4800,38,44,4,3,50,11,31,2,1.04,FALSE
HR,Female,45,Manager,4,Bachelor,5,9000,48,9,7,1,100,3,65,1,4.79,FALSE
IT,Female,32,Specialist,2,Bachelor,4,6300,55,46,26,11,0,9,87,2,4.82,FALSE
Marketing,Female,24,Technician,7,Bachelor,4,4900,30,33,20,3,25,15,18,0,1.46,FALSE
HR,Female,43,Analyst,3,Bachelor,2,4800,57,36,5,4,100,19,37,1,4.81,FALSE
Legal,Male,32,Consultant,2,High School,3,7150,35,43,15,10,25,5,75,0,1.49,FALSE
Customer Support,Male,35,Technician,1,High School,3,4550,51,28,4,9,50,3,84,1,2.03,FALSE
Engineering,Male,56,Technician,9,Bachelor,2,4200,38,27,14,6,100,6,20,2,2.7,FALSE
IT,Male,35,Consultant,6,Bachelor,1,6050,59,44,23,4,0,17,25,0,3.76,FALSE
Operations,Male,34,Specialist,3,Bachelor,3,5850,50,13,27,10,0,9,57,2,4.87,FALSE
Legal,Female,30,Consultant,9,Master,4,7700,43,31,26,13,50,3,37,1,3.4,FALSE
Marketing,Other,46,Developer,6,High School,1,5500,47,12,24,9,25,17,3,1,1.05,FALSE
Operations,Male,34,Consultant,9,High School,4,7700,52,13,8,9,100,13,81,2,3.17,FALSE
Engineering,Female,45,Specialist,5,Bachelor,2,5400,31,19,16,12,25,8,12,2,1.61,FALSE
HR,Female,31,Specialist,5,Bachelor,3,5850,59,19,22,6,75,3,78,0,3.3,FALSE
Sales,Male,26,Technician,8,Bachelor,5,5250,46,39,25,2,100,16,57,1,3.98,FALSE
Marketing,Male,40,Manager,4,High School,2,7200,60,25,6,13,75,11,94,1,4.41,FALSE
Marketing,Male,46,Developer,6,Master,2,6000,60,3,8,13,0,17,93,2,4.27,FALSE
Operations,Female,32,Technician,4,Bachelor,1,3850,40,25,10,10,50,16,89,1,1.43,FALSE
HR,Female,26,Developer,6,Master,2,6000,59,39,7,1,0,10,9,0,4.97,FALSE
IT,Male,52,Manager,4,Master,4,8400,39,30,29,7,0,17,18,1,2.68,FALSE
Marketing,Other,26,Engineer,3,PhD,4,8400,35,46,2,11,100,3,81,0,3.98,FALSE
IT,Female,34,Technician,6,PhD,5,5250,40,24,17,6,0,5,4,0,4.18,FALSE
Finance,Male,31,Developer,8,Bachelor,1,5500,38,29,24,10,25,15,76,0,3.39,FALSE
IT,Female,54,Manager,7,Bachelor,2,7200,59,6,11,1,100,17,32,2,4.08,FALSE
Operations,Male,39,Technician,0,High School,2,4200,50,23,29,9,75,9,69,2,4.5,TRUE
IT,Female,52,Manager,7,Bachelor,3,7800,39,4,20,2,0,9,57,0,1.54,FALSE
Sales,Male,39,Specialist,3,Bachelor,3,5850,39,40,22,6,0,8,19,0,1.52,FALSE
Operations,Male,31,Consultant,8,Master,1,6050,57,25,19,5,0,14,25,0,3.33,FALSE
